"","Name","tenure","Econ_Index","Journal_rank","Gender","Ethnicity","Author.Position","Rank","BA_to_PHD","PHD_to_Fac","Fac_to_decision"
"430","Rick Harbaugh",1,"Disciplinary","2","male","1","0",49,11,7,6
"431","Rishabh Kirpalani",1,"Disciplinary","1","male","6","1",38,6,0.5,5.5
"432","Robert Ulbricht",1,"Disciplinary","1","male","1","1",32,6,4,6
"433","Roberto Samaniego",1,"Disciplinary","3","male","4","0",41,7,0,4
"434","Robin S. Lee",1,"Interdisciplinary","2","male","5","1",1,5,1,9
"435","Rodrigo Pinto",0,"Interdisciplinary","5","male","2","1",20,13,1,8
"436","Rohini Pande",1,"Disciplinary","1","female","6","1",10,7,0,6
"437","Roozbeh Hosseini",1,"Disciplinary","3","male","4","2",46,11,0,12
"438","Rosen Valchev",1,"Disciplinary","1","male","1","0",32,6,0,8
"439","Rusty Tchernis",1,"Disciplinary","3","male","1","2",31,8,2,5
"440","Ryan Decker",0,"Disciplinary","7","male","1","1",24,5,0,7
"441","R√©ka Juh√°sz",0,"Disciplinary","2","female","1","0",6,12,1,6
"442","S Anukriti",0,"Disciplinary","2","female","6","1",12,11,0,7
"443","S. Boraƒüan Aruoba",1,"Disciplinary","3","male","4","1",24,5,0,7
"444","Saki Bigio",1,"Disciplinary","1","male","1","1",20,9,0,10
"445","Samuel G. Hanson",1,"Disciplinary","4","male","5","1",1,5,1,9
"446","SangMok Lee",1,"Disciplinary","3","male","5","0",29,8,0,5
"447","Santanu Chatterjee",1,"Disciplinary","3","male","6","0",46,7,0,6
"448","Santiago Caicedo",1,"Disciplinary","2","male","2","1",39,8,4,2
"449","Santiago Perez",1,"Disciplinary","2","male","1","2",45,9,0,6
"450","Sara B. Heller",1,"Disciplinary","3","female","1","1",13,11,0,11
"451","Sara Hern√°ndez-Saborit",1,"Interdisciplinary","4","female","1","1",9,6,0,6
"452","Sarah E. Turner",1,"Interdisciplinary","4","female","1","2",35,8,0,6
"453","Sarah Zubairy",1,"Interdisciplinary","2","female","4","1",25,6,3,5
"454","Saroj Bhattarai",1,"Disciplinary","2","male","6","1",30,5,0,11
"455","Sean Horan",1,"Disciplinary","3","male","1","0",37,13,-1,10
"456","Sebastian Dyrda",1,"Disciplinary","3","male","1","0",16,6,0,9
"457","Sebastian Fossati",1,"Disciplinary","5","male","1","0",47,7,0,7
"458","Sebastian Sotelo",1,"Disciplinary","2","male","1","2",13,11,0,6
"459","Selçuk Özyurt",1,"Disciplinary","3","male","4","0",42,8,0,10
"460","Sergio Urzua",1,"Disciplinary","3","male","1","2",24,7,0,9
"461","Seung-Hyun Hong",1,"Disciplinary","3","male","5","1",28,6,0,7
"462","Shahed Khan",0,"Disciplinary","3","male","6","1",44,6,0,7
"463","Shari Eli",1,"Disciplinary","3","female","4","1",16,6,0,9
"464","Sheetal Sekhri",1,"Disciplinary","3","female","6","1",35,11,0,7
"465","Shu Shen",1,"Disciplinary","2","female","5","1",45,7,0,7
"466","Silvana Krasteva",1,"Disciplinary","3","female","1","0",25,5,0,7
"467","Silvia Helena Barcellos",1,"Interdisciplinary","3","female","1","1",15,8,9,3
"468","Silvia Prina",1,"Disciplinary","4","female","1","1",39,5,0,6
"469","Simon Alder",0,"Disciplinary","2","male","1","1",34,6,0,7
"470","Simon Board",1,"Disciplinary","2","male","1","0",20,7,0,8
"471","Simona E. Cociuba",1,"Disciplinary","2","female","1","0",44,6,4,9
"472","Simone G. Schaner",1,"Disciplinary","2","female","1","1",15,12,3,4
"473","Siwan Anderson",1,"Disciplinary","5","female","1","0",26,6,2,9
"474","Soohyung Lee",0,"Disciplinary","2","female","5","1",24,10,0,8
"475","Sophie Osotimehin",0,"Disciplinary","2","female","3","1",35,8,1,6
"476","Soren T. Anderson",1,"Disciplinary","3","male","1","1",23,7,0,7
"477","Stanislav Rabinovich",1,"Disciplinary","2","male","1","2",34,6,0,11
"478","Stefan Weiergraeber",0,"Disciplinary","2","male","1","0",22,6,0,9
"479","Stefanie Stantcheva",1,"Disciplinary","1","female","1","2",1,7,2,1
"480","Steven L. Puller",1,"Disciplinary","2","male","1","1",25,8,0,7
"481","Steven Mello",0,"Disciplinary","2","male","1","0",48,8,1,4
"482","Sukkoo Kim",1,"Disciplinary","3","male","5","0",29,7,0,14
"483","Sung Jae Jun",1,"Disciplinary","3","male","5","0",17,7,0,6
"484","Suresh Naidu",1,"Interdisciplinary","2","male","6","1",6,7,2,6
"485","Svetlana Boyarchenko",1,"Disciplinary","4","female","1","0",30,23,0,6
"486","Svetlana Pashchenko",1,"Disciplinary","3","female","1","1",46,8,0,13
"487","Sylvain Chassang",1,"Disciplinary","2","male","5","0",11,7,0,5
"488","Takuya Ura",1,"Disciplinary","2","male","5","1",45,8,0,6
"489","Tara M. Sinclair",1,"Disciplinary","3","female","1","1",41,9,0,6
"490","Tasso Adamopoulos",1,"Disciplinary","3","male","1","0",42,8,0,4
"491","Tatevik Sekhposyan",1,"Disciplinary","4","female","4","2",25,9,4,4
"492","Teresa Harrison Drexel",1,"Disciplinary","4","female","1","1",50,5,0,7
"493","Theodore Papageorgiou",1,"Disciplinary","2","male","4","1",32,6,0,11
"494","Thibaut Lamadon",1,"Disciplinary","1","male","1","1",3,10,1,8
"495","Thomas Baranga",0,"Disciplinary","9","male","4","1",33,7,0,8
"496","Thomas Fujiwara",1,"Disciplinary","2","male","5","1",11,8,1,7
"497","Thomas Knight",1,"Interdisciplinary","6","male","1","1",40,7,0,4
"498","Thomas Wiseman",1,"Disciplinary","2","male","4","0",30,5,0,8
"499","Thomas Youle",0,"Disciplinary","8","male","1","2",48,7,0,4
"500","Thorsten Rogall",0,"Disciplinary","6","male","1","1",26,8,1,4
"501","Tilman Klumpp",0,"Disciplinary","3","male","1","0",46,7,-1,4
"502","Timothy N. Bond",1,"Disciplinary","2","male","1","1",43,5,0,7
"503","Ting Liu",0,"Disciplinary","2","female","5","0",23,7,0,4
"504","Toan Phan",0,"Disciplinary","2","male","5","0",34,6,0,5
"505","Tobias Salz",1,"Disciplinary","2","male","1","2",2,7,1,6
"506","Todd E. Elder",1,"Disciplinary","3","male","1","1",23,7,0,9
"507","Tomas Williams",1,"Disciplinary","3","male","1","1",41,9,0,6
"508","Tomasz Sadzik",1,"Disciplinary","2","male","1","1",20,5,0,4
"509","Tomasz Strzalecki",1,"Disciplinary","3","male","1","0",1,6,1,4
"510","Tommaso Porzio",0,"Interdisciplinary","2","male","1","2",33,7,0,7
"511","Trevor Gallen",0,"Disciplinary","3","male","1","0",43,7,0,9
"512","Tristan Potter",1,"Disciplinary","3","male","1","4",50,6,0,7
"513","Ulrike Malmendier",1,"Disciplinary","3","female","1","1",5,6,0,6
"514","Uros Petronijevic",1,"Disciplinary","3","male","1","1",42,5,0,6
"515","Vadim Marmer",1,"Disciplinary","3","male","1","1",26,9,0,7
"516","Vaidyanathan (Venky) Venkateswaran",1,"Disciplinary","3","male","6","2",8,15,0,8
"517","Valentin Verdier",1,"Disciplinary","2","male","1","1",34,5,0,8
"518","Valentina Galvani",1,"Disciplinary","4","female","1","0",47,7,0,8
"519","Vasia Panousi",0,"Disciplinary","2","female","1","0",37,7,8,6
"520","Vera Brencic",1,"Disciplinary","3","female","1","0",47,5,1,6
"521","Victor Chernozhukov",1,"Interdisciplinary","2","male","1","0",2,3,0,5
"522","Viktoria Hnatkovska",1,"Disciplinary","2","female","1","0",26,6,0,7
"523","Vitor Farinha Luz",1,"Disciplinary","2","male","6","3",26,8,1,8
"524","Vivek Bhattacharya",1,"Disciplinary","1","male","6","1",9,5,0,7
"525","Vjollca Sadiraj",1,"Disciplinary","3","female","1","3",31,13,4,7
"526","Wei Li",1,"Disciplinary","2","female","5","1",26,7,0,5
"527","Wei Xiong",1,"Disciplinary","3","male","5","2",11,8,0,5
"528","William J. McCausland",1,"Disciplinary","4","male","1","0",37,13,-1,8
"529","Wojciech Kopczuk",1,"Disciplinary","2","male","1","0",6,5,0,4
"530","Wojciech Olszewski",1,"Disciplinary","2","male","1","0",9,8,0,6
"531","Xianwen Shi",1,"Disciplinary","3","male","5","1",16,11,0,6
"532","Xiao Yu Wang",0,"Disciplinary","2","female","5","3",19,6,0,7
"533","Xiaoxia Shi",1,"Disciplinary","3","female","5","1",38,9,0,6
"534","Xiye Yang",1,"Disciplinary","3","male","5","1",27,6,0,7
"535","Xu Tan",1,"Disciplinary","2","male","5","1",36,6,0,7
"536","Xuejuan Su",1,"Disciplinary","3","female","5","1",47,7,0,12
"537","Yaroslav Rosokha",1,"Disciplinary","3","male","1","1",43,7,0,8
"538","Yi (Daniel) Xu",1,"Disciplinary","1","female","5","2",19,8,0,6
"539","Ying Fan",1,"Disciplinary","2","female","5","1",13,8,0,8
"540","Yingnan Zhao",0,"Disciplinary","9","female","5","1",16,6,0,7
"541","Yingni Guo",1,"Disciplinary","1","female","5","1",9,5,1,9
"542","Yixiao Sun",1,"Disciplinary","2","male","5","1",33,5,4,6
"543","Yong Bao",1,"Disciplinary","3","male","5","0",43,6,0,4
"544","Yonghong An",1,"Disciplinary","3","male","5","1",25,6,0,7
"545","Yongseok Shin",1,"Disciplinary","4","male","5","1",29,5,0,5
"546","Yoto V. Yotov",1,"Disciplinary","2","male","4","1",50,5,0,6
"547","Youngki Shin",0,"Disciplinary","3","male","5","0",44,11,0,8
"548","Yu-chin Chen",1,"Disciplinary","3","female","5","2",36,9,1,9
"549","Yuhta Ishii",1,"Disciplinary","2","female","5","2",17,6,1,9
"550","Yuzhe Zhang",1,"Disciplinary","3","male","5","1",25,6,0,5
"551","Zhipeng Liao",1,"Disciplinary","2","male","5","2",20,10,0,7
"552","Zhongjun Qu",1,"Disciplinary","2","male","5","1",12,7,0,8
"553","Zhuan Pei",1,"Disciplinary","3","male","5","2",14,6,1,7
