"","Name","tenure","Econ_Index","Journal_rank","Gender","Ethnicity","Author.Position","Rank","BA_to_PHD","PHD_to_Fac","Fac_to_decision"
"186","Gregor Jarosch",0,"Disciplinary","1","male","1","1",11,7,2,5
"187","Gregorio Caetano",1,"Disciplinary","3","male","1","0",46,9,0,9
"188","Gregory Pavlov",1,"Disciplinary","3","male","1","1",44,8,0,9
"189","Grey Gordon",0,"Disciplinary","2","male","1","0",22,6,0,7
"190","Guido Matias Cortes",1,"Disciplinary","3","male","1","1",42,7,5,3
"191","Guillaume Vandenbroucke",0,"Disciplinary","2","male","1","2",15,3,0,7
"192","Gustavo J. Bobonis",1,"Disciplinary","2","male","1","0",16,5,0,6
"193","Gustavo Torrens",1,"Disciplinary","3","male","1","1",22,10,0,8
"194","Haifang Huang",1,"Interdisciplinary","3","male","5","1",47,10,0,4
"195","Haiqing Xu",1,"Disciplinary","3","male","5","2",30,11,0,7
"196","Haizhen Lin",1,"Disciplinary","3","female","5","1",49,7,0,7
"197","Hannes Malmberg",1,"Disciplinary","3","male","1","1",21,7,1,6
"198","Hanzhe Zhang",1,"Disciplinary","4","male","5","1",23,5,0,8
"199","Heather Eckert",1,"Disciplinary","3","female","1","0",47,6,0,10
"200","Hendrik Wolff",0,"Disciplinary","3","male","1","1",36,10,0,9
"201","Henrique De Oliveira",0,"Disciplinary","6","male","2","1",17,6,1,5
"202","Hernan J. Moscoso Boedo",0,"Disciplinary","3","male","2","0",35,7,0,8
"203","Hiroaki Kaido",1,"Disciplinary","2","male","5","1",12,7,0,8
"204","Hugh Macartney",0,"Disciplinary","3","male","1","1",19,8,0,10
"205","Hyungsik Roger Moon",1,"Disciplinary","3","male","5","1",15,9,0,6
"206","Ichiro Obara",1,"Disciplinary","2","male","5","1",20,7,0,7
"207","Ina Simonovska",1,"Disciplinary","2","female","1","1",45,5,0,7
"208","Iourii Manovskii",1,"Disciplinary","1","male","1","1",7,9,0,11
"209","Isaac McFarlin Jr.",0,"Interdisciplinary","2","male","3","0",40,10,0,6
"210","Isaac Sorkin",1,"Disciplinary","1","male","1","1",4,8,1,8
"211","Isabel Trevino",1,"Disciplinary","3","female","1","1",33,8,0,8
"212","Isabelle Brocas",1,"Disciplinary","4","female","1","0",15,4,6,7
"213","Ismael Y. Mourifié",1,"Disciplinary","3","male","3","1",29,9,0,7
"214","Itzik Fadlon",1,"Disciplinary","2","male","4","1",33,8,1,6
"215","Ivan A. Canay",1,"Disciplinary","3","male","4","0",9,7,0,7
"216","Ivan Fernandez-Val",1,"Disciplinary","4","male","1","1",12,7,0,5
"217","Ivan Petkov",0,"Interdisciplinary","3","male","1","0",39,7.4,0,7.2
"218","Iv√°n Werning",1,"Disciplinary","1","male","2","2",2,6,0,4
"219","Jacob M. Short",0,"Disciplinary","6","male","1","2",44,5,0,8
"220","Jae Won Lee",0,"Disciplinary","3","male","5","2",35,5,0,5
"221","James Feyrer",1,"Disciplinary","3","male","1","0",48,11,0,7
"222","James Marton",1,"Interdisciplinary","4","male","1","1",31,6,0,5
"223","James W. Roberts",1,"Disciplinary","2","male","1","1",19,5,1,4
"224","Jaromir B. Nosal",0,"Disciplinary","3","male","1","1",19,6.5,0,7.5
"225","Jason T. Kerwin",1,"Disciplinary","3","male","1","4",36,8,0,9
"226","Javier D. Donna",0,"Disciplinary","2","male","1","1",40,4,0,8
"227","Jawwad Noor",1,"Disciplinary","3","male","6","0",12,8,0,6
"228","Jay Lu",1,"Disciplinary","2","male","5","1",20,8,0,6
"229","Jeffrey P. Clemens",1,"Disciplinary","4","male","1","1",33,6,1,6
"230","Jeffrey Penney",1,"Disciplinary","3","male","1","1",47,9,0,8
"231","Jeffrey T. Lewis",1,"Disciplinary","8","male","1","0",9,5,2,8
"232","Jennifer La'O",1,"Disciplinary","1","female","3","1",6,5,3,6
"233","Jesse Gregory",1,"Disciplinary","3","female","1","1",38,9,0,7
"234","Jessica A. Goldberg",1,"Disciplinary","2","female","4","1",24,10,0,7
"235","Jes√∫s Fern√°ndez-Villaverde",1,"Disciplinary","4","male","1","2",7,5,0,6
"236","Ji Hyung Lee",1,"Disciplinary","3","male","5","0",28,8,0,11
"237","Jianjun Miao",1,"Disciplinary","3","male","5","0",12,11,0,6
"238","Jiaying Gu",1,"Disciplinary","3","female","5","1",16,9,0,8
"239","Jillian B. Carr",1,"Disciplinary","3","female","1","0",43,6,0,9
"240","Jim Goldman",0,"Disciplinary","3","male","1","0",16,18,0,5
"241","Jing Cai",0,"Disciplinary","1","female","5","0",13,8,0,4
"242","Joe Mazur",0,"Disciplinary","7","male","1","0",43,8,0,9
"243","Joel M. David",0,"Disciplinary","2","male","1","0",15,10,0,7
"244","Johannes F. Schmieder",1,"Interdisciplinary","4","male","1","1",12,6,0,7
"245","John Cawley",1,"Disciplinary","5","male","1","0",14,6,2,4
"246","John D. Gibson",0,"Disciplinary","4","male","1","1",31,7,0,6
"247","John L. Turner",1,"Interdisciplinary","2","male","1","1",46,7,0,6
"248","John Landon-Lane",1,"Disciplinary","3","male","1","1",27,5,3,8
"249","Jonathan Beauchamp",0,"Disciplinary","4","male","1","1",16,6,5,8
"250","Jonathan Colmer",1,"Interdisciplinary","3","male","1","2",35,6,0,8
"251","Jonathan D. Ketcham",1,"Disciplinary","4","male","4","1",18,5,3,5
"252","Jonathan Levin",1,"Disciplinary","1","male","5","0",4,5,1,5
"253","Jonathan Meer",1,"Disciplinary","3","male","6","0",25,7,0,5
"254","Jonathan Smith",1,"Disciplinary","2","male","1","3",31,9,6,4
"255","Jonathan T. Kolstad",1,"Disciplinary","1","male","1","1",5,7,0,8
"256","Jonathan Vogel",1,"Disciplinary","2","male","1","0",20,6,0,7
"257","Jonathan Williams",1,"Interdisciplinary","3","male","1","1",34,6,0,8
"258","Jonathan Zinman",1,"Disciplinary","2","male","4","0",48,9,3,4
"259","Jordi Mondria",1,"Disciplinary","2","male","1","0",16,5,0,7
