Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Christopher L. House,1,Disciplinary,1,male,1,2,13,9,House
Dmytro Hryshko,1,Disciplinary,0,male,1,2,47,7,Hryshko
Haifang Huang,1,Interdisciplinary,0,male,5,2,47,10,Huang
Christopher Huckfeldt,0,Disciplinary,1,male,1,2,14,8,Huckfeldt
Cosmin L. Ilut,1,Disciplinary,1,male,1,2,19,7,Ilut
Yuhta Ishii,1,Disciplinary,1,female,5,2,17,6,Ishii
Mark R. Jacobsen,1,Disciplinary,1,male,1,2,33,8,Jacobsen
Gregor Jarosch,0,Disciplinary,1,male,1,2,11,7,Jarosch
Remi C. Jedwab,1,Disciplinary,1,male,4,2,41,7,Jedwab
Ginger Zhe Jin,1,Disciplinary,1,female,5,2,24,8,Jin
Isaac McFarlin Jr.,0,Interdisciplinary,0,male,3,2,40,10,Jr.
Réka Juhász,0,Disciplinary,1,female,1,2,6,12,Juhász
Sung Jae Jun,1,Disciplinary,0,male,5,2,17,7,Jun
Kyle Jurado,1,Disciplinary,1,male,1,2,19,7,Jurado
Hiroaki Kaido,1,Disciplinary,1,male,5,2,12,7,Kaido
Myrto Kalouptsidi,1,Disciplinary,1,female,1,2,1,7,Kalouptsidi
Ethan Kaplan,1,Interdisciplinary,1,male,4,2,24,13,Kaplan
Kei Kawai,0,Disciplinary,1,male,5,2,5,5,Kawai
Melissa S. Kearney,1,Disciplinary,1,female,1,2,24,6,Kearney
Matthias Kehrig,1,Disciplinary,1,male,1,2,19,2,Kehrig
Daniel Keniston,0,Interdisciplinary,1,male,1,2,10,7,Keniston
Jason T. Kerwin,1,Disciplinary,0,male,1,2,36,8,Kerwin
Jonathan D. Ketcham,1,Disciplinary,0,male,4,2,18,5,Ketcham
Shahed Khan,0,Disciplinary,0,male,6,2,44,6,Khan
Sukkoo Kim,1,Disciplinary,0,male,5,2,29,7,Kim
Dukpa Kim,0,Disciplinary,0,male,5,2,35,10,Kim
Cynthia Kinnan,0,Interdisciplinary,1,female,1,2,9,7,Kinnan
Josh Kinsler,1,Disciplinary,0,male,1,2,46,8,Kinsler
Rishabh Kirpalani,1,Disciplinary,1,male,6,2,38,6,Kirpalani
Nicolas Klein,1,Interdisciplinary,1,male,1,2,37,5,Klein
Patrick McGraw Kline,1,Disciplinary,1,male,4,2,5,8,Kline
Brendan Kline,1,Disciplinary,1,male,1,2,30,7,Kline
Andrew Kloosterman,0,Disciplinary,0,male,1,2,35,9,Kloosterman
Tilman Klumpp,0,Disciplinary,0,male,1,2,46,7,Klumpp
Matthew Knepper,0,Disciplinary,0,male,1,2,46,6,Knepper
Thomas Knight,1,Interdisciplinary,0,male,1,2,40,7,Knight
Michal Kolesár,1,Disciplinary,1,male,1,2,11,6,Kolesár
